hb,cancer_site,sex,year,incidences_all_ages,crude_rate,hb_name
S08000016,All cancer types,Male,2016,423,761.9425031,NHS Borders
S08000016,All cancer types,Male,2017,476,853.2147914,NHS Borders
S08000016,All cancer types,Male,2018,468,835.8784761,NHS Borders
S08000016,All cancer types,Male,2019,380,677.0842614,NHS Borders
S08000016,All cancer types,Male,2020,327,583.3868551,NHS Borders
S08000016,All cancer types,Female,1996,368,668.4831971,NHS Borders
S08000016,All cancer types,Female,1997,321,582.8521625,NHS Borders
S08000016,All cancer types,Female,1998,286,519.0939451,NHS Borders
S08000016,All cancer types,Female,1999,371,675.9711391,NHS Borders
S08000016,All cancer types,Female,2000,301,545.8238132,NHS Borders
S08000016,All cancer types,Female,2001,312,562.3344087,NHS Borders
S08000016,All cancer types,Female,2002,391,702.5172036,NHS Borders
S08000016,All cancer types,Female,2003,299,533.0148317,NHS Borders
S08000016,All cancer types,Female,2004,309,546.2162592,NHS Borders
S08000016,All cancer types,Female,2005,406,712.9811745,NHS Borders
S08000016,All cancer types,Female,2006,327,571.8282766,NHS Borders
S08000016,All cancer types,Female,2007,323,558.3887976,NHS Borders
S08000016,All cancer types,Female,2008,404,690.5038627,NHS Borders
S08000016,All cancer types,Female,2009,333,567.4943336,NHS Borders
S08000016,All cancer types,Female,2010,389,662.0262428,NHS Borders
S08000016,All cancer types,Female,2011,400,681.6051802,NHS Borders
S08000016,All cancer types,Female,2012,374,638.912141,NHS Borders
S08000016,All cancer types,Female,2013,391,667.5886561,NHS Borders
S08000016,All cancer types,Female,2014,440,749.3060404,NHS Borders
S08000016,All cancer types,Female,2015,377,641.6256786,NHS Borders
S08000016,All cancer types,Female,2016,383,648.9985427,NHS Borders
S08000016,All cancer types,Female,2017,444,749.6074691,NHS Borders
S08000016,All cancer types,Female,2018,391,659.5705201,NHS Borders
S08000016,All cancer types,Female,2019,386,649.9739,NHS Borders
S08000016,All cancer types,Female,2020,387,653.8487531,NHS Borders
S08000016,Bladder,All,1996,40,37.78575477,NHS Borders
S08000016,Bladder,All,1997,30,28.31257078,NHS Borders
S08000016,Bladder,All,1998,15,14.14560543,NHS Borders
S08000016,Bladder,All,1999,28,26.46252717,NHS Borders
S08000016,Bladder,All,2000,22,20.70588235,NHS Borders
S08000016,Bladder,All,2001,20,18.70032726,NHS Borders
S08000016,Bladder,All,2002,15,13.94959546,NHS Borders
S08000016,Bladder,All,2003,23,21.21966971,NHS Borders
S08000016,Bladder,All,2004,18,16.44586569,NHS Borders
S08000016,Bladder,All,2005,17,15.41950113,NHS Borders
S08000016,Bladder,All,2006,15,13.53057911,NHS Borders
S08000016,Bladder,All,2007,20,17.82531194,NHS Borders
S08000016,Bladder,All,2008,15,13.23218066,NHS Borders
S08000016,Bladder,All,2009,18,15.84646536,NHS Borders
S08000016,Bladder,All,2010,27,23.74670185,NHS Borders
S08000016,Bladder,All,2011,28,24.58728486,NHS Borders
S08000016,Bladder,All,2012,17,14.94899754,NHS Borders
S08000016,Bladder,All,2013,25,21.95293291,NHS Borders
S08000016,Bladder,All,2014,14,12.27639425,NHS Borders
S08000016,Bladder,All,2015,24,21.04709287,NHS Borders
S08000016,Bladder,All,2016,19,16.58953986,NHS Borders
S08000016,Bladder,All,2017,22,19.12710833,NHS Borders
S08000016,Bladder,All,2018,20,17.35056823,NHS Borders
S08000016,Bladder,All,2019,23,19.91169596,NHS Borders
S08000016,Bladder,All,2020,12,10.41305102,NHS Borders
S08000016,Bladder,Male,1996,30,59.04349537,NHS Borders
S08000016,Bladder,Male,1997,18,35.37318712,NHS Borders
S08000016,Bladder,Male,1998,12,23.55527638,NHS Borders
S08000016,Bladder,Male,1999,16,31.41813612,NHS Borders
S08000016,Bladder,Male,2000,14,27.39511584,NHS Borders
S08000016,Bladder,Male,2001,14,27.20189636,NHS Borders
S08000016,Bladder,Male,2002,10,19.27785168,NHS Borders
S08000016,Bladder,Male,2003,17,32.50850958,NHS Borders
S08000016,Bladder,Male,2004,14,26.47553849,NHS Borders
S08000016,Bladder,Male,2005,10,18.7596143,NHS Borders
S08000016,Bladder,Male,2006,10,18.63064741,NHS Borders
S08000016,Bladder,Male,2007,14,25.75660013,NHS Borders
S08000016,Bladder,Male,2008,11,20.05396339,NHS Borders
S08000016,Bladder,Male,2009,14,25.4958023,NHS Borders
S08000016,Bladder,Male,2010,20,36.40268652,NHS Borders
S08000016,Bladder,Male,2011,23,41.67044116,NHS Borders
S08000016,Bladder,Male,2012,8,14.49721835,NHS Borders
S08000016,Bladder,Male,2013,16,28.92733814,NHS Borders
S08000016,Bladder,Male,2014,11,19.88466892,NHS Borders
S08000016,Bladder,Male,2015,19,34.37483039,NHS Borders
S08000016,Bladder,Male,2016,12,21.61539016,NHS Borders
S08000016,Bladder,Male,2017,16,28.67948879,NHS Borders
S08000016,Bladder,Male,2018,13,23.21884656,NHS Borders
S08000016,Bladder,Male,2019,16,28.508811,NHS Borders
S08000016,Bladder,Male,2020,9,16.05651895,NHS Borders
S08000016,Bladder,Female,1996,10,18.16530427,NHS Borders
S08000016,Bladder,Female,1997,12,21.78886589,NHS Borders
S08000016,Bladder,Female,1998,3,5.445041382,NHS Borders
S08000016,Bladder,Female,1999,12,21.86429561,NHS Borders
S08000016,Bladder,Female,2000,8,14.5069452,NHS Borders
S08000016,Bladder,Female,2001,6,10.81412324,NHS Borders
S08000016,Bladder,Female,2002,5,8.983595954,NHS Borders
S08000016,Bladder,Female,2003,6,10.6959498,NHS Borders
S08000016,Bladder,Female,2004,4,7.070760637,NHS Borders
S08000016,Bladder,Female,2005,7,12.29277887,NHS Borders
S08000016,Bladder,Female,2006,5,8.743551631,NHS Borders
S08000016,Bladder,Female,2007,6,10.37254732,NHS Borders
S08000016,Bladder,Female,2008,4,6.836671908,NHS Borders
S08000016,Bladder,Female,2009,4,6.816748752,NHS Borders
S08000016,Bladder,Female,2010,7,11.91306864,NHS Borders
S08000016,Bladder,Female,2011,5,8.520064752,NHS Borders
S08000016,Bladder,Female,2012,9,15.37489109,NHS Borders
S08000016,Bladder,Female,2013,9,15.36649081,NHS Borders
S08000016,Bladder,Female,2014,3,5.108904821,NHS Borders
S08000016,Bladder,Female,2015,5,8.509624385,NHS Borders
S08000016,Bladder,Female,2016,7,11.86159216,NHS Borders
S08000016,Bladder,Female,2017,6,10.12983066,NHS Borders
S08000016,Bladder,Female,2018,7,11.80816788,NHS Borders
S08000016,Bladder,Female,2019,7,11.78709145,NHS Borders
S08000016,Bladder,Female,2020,3,5.068594985,NHS Borders
S08000016,Bone and articular cartilage,All,1996,1,0.944643869,NHS Borders
S08000016,Bone and articular cartilage,All,1997,2,1.887504719,NHS Borders
S08000016,Bone and articular cartilage,All,1998,1,0.943040362,NHS Borders
S08000016,Bone and articular cartilage,All,1999,1,0.945090256,NHS Borders
S08000016,Bone and articular cartilage,All,2000,1,0.941176471,NHS Borders
S08000016,Bone and articular cartilage,All,2001,1,0.935016363,NHS Borders
S08000016,Bone and articular cartilage,All,2002,1,0.929973031,NHS Borders
S08000016,Bone and articular cartilage,All,2003,2,1.845188671,NHS Borders
S08000016,Bone and articular cartilage,All,2004,0,0,NHS Borders
S08000016,Bone and articular cartilage,All,2005,0,0,NHS Borders
S08000016,Bone and articular cartilage,All,2006,0,0,NHS Borders
S08000016,Bone and articular cartilage,All,2007,2,1.782531194,NHS Borders
S08000016,Bone and articular cartilage,All,2008,1,0.882145378,NHS Borders
S08000016,Bone and articular cartilage,All,2009,2,1.760718373,NHS Borders
S08000016,Bone and articular cartilage,All,2010,0,0,NHS Borders
S08000016,Bone and articular cartilage,All,2011,3,2.634351949,NHS Borders
S08000016,Bone and articular cartilage,All,2012,0,0,NHS Borders
S08000016,Bone and articular cartilage,All,2013,2,1.756234633,NHS Borders
S08000016,Bone and articular cartilage,All,2014,0,0,NHS Borders
S08000016,Bone and articular cartilage,All,2015,1,0.876962203,NHS Borders
S08000016,Bone and articular cartilage,All,2016,1,0.873133677,NHS Borders
S08000016,Bone and articular cartilage,All,2017,2,1.73882803,NHS Borders
S08000016,Bone and articular cartilage,All,2018,1,0.867528412,NHS Borders
S08000016,Bone and articular cartilage,All,2019,0,0,NHS Borders
S08000016,Bone and articular cartilage,All,2020,1,0.867754252,NHS Borders
S08000016,Bone and articular cartilage,Male,1996,0,0,NHS Borders
S08000016,Bone and articular cartilage,Male,1997,2,3.930354125,NHS Borders
S08000016,Bone and articular cartilage,Male,1998,1,1.962939698,NHS Borders
S08000016,Bone and articular cartilage,Male,1999,0,0,NHS Borders
S08000016,Bone and articular cartilage,Male,2000,1,1.956793989,NHS Borders
S08000016,Bone and articular cartilage,Male,2001,1,1.942992597,NHS Borders
S08000016,Bone and articular cartilage,Male,2002,1,1.927785168,NHS Borders
S08000016,Bone and articular cartilage,Male,2003,2,3.824530539,NHS Borders
S08000016,Bone and articular cartilage,Male,2004,0,0,NHS Borders
S08000016,Bone and articular cartilage,Male,2005,0,0,NHS Borders
S08000016,Bone and articular cartilage,Male,2006,0,0,NHS Borders
S08000016,Bone and articular cartilage,Male,2007,1,1.839757152,NHS Borders
S08000016,Bone and articular cartilage,Male,2008,1,1.823087581,NHS Borders
S08000016,Bone and articular cartilage,Male,2009,1,1.821128736,NHS Borders
S08000016,Bone and articular cartilage,Male,2010,0,0,NHS Borders
S08000016,Bone and articular cartilage,Male,2011,2,3.623516623,NHS Borders
S08000016,Bone and articular cartilage,Male,2012,0,0,NHS Borders
S08000016,Bone and articular cartilage,Male,2013,1,1.807958634,NHS Borders
S08000016,Bone and articular cartilage,Male,2014,0,0,NHS Borders
S08000016,Bone and articular cartilage,Male,2015,1,1.809201599,NHS Borders
S08000016,Bone and articular cartilage,Male,2016,0,0,NHS Borders
S08000016,Bone and articular cartilage,Male,2017,1,1.792468049,NHS Borders
S08000016,Bone and articular cartilage,Male,2018,0,0,NHS Borders
S08000016,Bone and articular cartilage,Male,2019,0,0,NHS Borders
S08000016,Bone and articular cartilage,Male,2020,0,0,NHS Borders
S08000016,Bone and articular cartilage,Female,1996,1,1.816530427,NHS Borders
S08000016,Bone and articular cartilage,Female,1997,0,0,NHS Borders
S08000016,Bone and articular cartilage,Female,1998,0,0,NHS Borders
S08000016,Bone and articular cartilage,Female,1999,1,1.822024634,NHS Borders
S08000016,Bone and articular cartilage,Female,2000,0,0,NHS Borders
S08000016,Bone and articular cartilage,Female,2001,0,0,NHS Borders
S08000016,Bone and articular cartilage,Female,2002,0,0,NHS Borders
S08000016,Bone and articular cartilage,Female,2003,0,0,NHS Borders
S08000016,Bone and articular cartilage,Female,2004,0,0,NHS Borders
S08000016,Bone and articular cartilage,Female,2005,0,0,NHS Borders
S08000016,Bone and articular cartilage,Female,2006,0,0,NHS Borders
S08000016,Bone and articular cartilage,Female,2007,1,1.728757887,NHS Borders
S08000016,Bone and articular cartilage,Female,2008,0,0,NHS Borders
S08000016,Bone and articular cartilage,Female,2009,1,1.704187188,NHS Borders
S08000016,Bone and articular cartilage,Female,2010,0,0,NHS Borders
S08000016,Bone and articular cartilage,Female,2011,1,1.70401295,NHS Borders
S08000016,Bone and articular cartilage,Female,2012,0,0,NHS Borders
S08000016,Bone and articular cartilage,Female,2013,1,1.707387867,NHS Borders
S08000016,Bone and articular cartilage,Female,2014,0,0,NHS Borders
S08000016,Bone and articular cartilage,Female,2015,0,0,NHS Borders
S08000016,Bone and articular cartilage,Female,2016,1,1.694513166,NHS Borders
S08000016,Bone and articular cartilage,Female,2017,1,1.68830511,NHS Borders
S08000016,Bone and articular cartilage,Female,2018,1,1.686881125,NHS Borders
S08000016,Bone and articular cartilage,Female,2019,0,0,NHS Borders
S08000016,Bone and articular cartilage,Female,2020,1,1.689531662,NHS Borders
S08000016,Bone and connective tissue,All,1996,2,1.889287739,NHS Borders
S08000016,Bone and connective tissue,All,1997,4,3.775009438,NHS Borders
S08000016,Bone and connective tissue,All,1998,5,4.715201811,NHS Borders
S08000016,Bone and connective tissue,All,1999,4,3.780361024,NHS Borders
S08000016,Bone and connective tissue,All,2000,5,4.705882353,NHS Borders
S08000016,Bone and connective tissue,All,2001,4,3.740065451,NHS Borders
S08000016,Bone and connective tissue,All,2002,7,6.509811215,NHS Borders
S08000016,Bone and connective tissue,All,2003,8,7.380754682,NHS Borders
S08000016,Bone and connective tissue,All,2004,4,3.65463682,NHS Borders
S08000016,Bone and connective tissue,All,2005,3,2.721088435,NHS Borders
S08000016,Bone and connective tissue,All,2006,2,1.804077215,NHS Borders
S08000016,Bone and connective tissue,All,2007,9,8.021390374,NHS Borders
S08000016,Bone and connective tissue,All,2008,2,1.764290755,NHS Borders
S08000016,Bone and connective tissue,All,2009,7,6.162514306,NHS Borders
S08000016,Bone and connective tissue,All,2010,4,3.518029903,NHS Borders
S08000016,Bone and connective tissue,All,2011,8,7.024938532,NHS Borders
S08000016,Bone and connective tissue,All,2012,1,0.879352796,NHS Borders
S08000016,Bone and connective tissue,All,2013,7,6.146821215,NHS Borders
S08000016,Bone and connective tissue,All,2014,1,0.876885303,NHS Borders
S08000016,Bone and connective tissue,All,2015,4,3.507848812,NHS Borders
S08000016,Bone and connective tissue,All,2016,1,0.873133677,NHS Borders
S08000016,Bone and connective tissue,All,2017,7,6.085898105,NHS Borders
S08000016,Bone and connective tissue,All,2018,4,3.470113646,NHS Borders
S08000016,Bone and connective tissue,All,2019,4,3.462903645,NHS Borders
S08000016,Bone and connective tissue,All,2020,2,1.735508504,NHS Borders
S08000016,Bone and connective tissue,Male,1996,1,1.968116512,NHS Borders
S08000016,Bone and connective tissue,Male,1997,4,7.86070825,NHS Borders
S08000016,Bone and connective tissue,Male,1998,3,5.888819095,NHS Borders
S08000016,Bone and connective tissue,Male,1999,1,1.963633507,NHS Borders
S08000016,Bone and connective tissue,Male,2000,5,9.783969944,NHS Borders
S08000016,Bone and connective tissue,Male,2001,2,3.885985194,NHS Borders
S08000016,Bone and connective tissue,Male,2002,5,9.638925838,NHS Borders
S08000016,Bone and connective tissue,Male,2003,5,9.561326347,NHS Borders
S08000016,Bone and connective tissue,Male,2004,1,1.891109892,NHS Borders
S08000016,Bone and connective tissue,Male,2005,1,1.87596143,NHS Borders
S08000016,Bone and connective tissue,Male,2006,1,1.863064741,NHS Borders
S08000016,Bone and connective tissue,Male,2007,5,9.19878576,NHS Borders
S08000016,Bone and connective tissue,Male,2008,1,1.823087581,NHS Borders
S08000016,Bone and connective tissue,Male,2009,6,10.92677241,NHS Borders
S08000016,Bone and connective tissue,Male,2010,3,5.460402978,NHS Borders
S08000016,Bone and connective tissue,Male,2011,6,10.87054987,NHS Borders
S08000016,Bone and connective tissue,Male,2012,0,0,NHS Borders
S08000016,Bone and connective tissue,Male,2013,3,5.423875902,NHS Borders
S08000016,Bone and connective tissue,Male,2014,0,0,NHS Borders
S08000016,Bone and connective tissue,Male,2015,3,5.427604798,NHS Borders
S08000016,Bone and connective tissue,Male,2016,0,0,NHS Borders
S08000016,Bone and connective tissue,Male,2017,4,7.169872197,NHS Borders
S08000016,Bone and connective tissue,Male,2018,2,3.57213024,NHS Borders
S08000016,Bone and connective tissue,Male,2019,1,1.781800688,NHS Borders
S08000016,Bone and connective tissue,Male,2020,1,1.784057661,NHS Borders
S08000016,Bone and connective tissue,Female,1996,1,1.816530427,NHS Borders
S08000016,Bone and connective tissue,Female,1997,0,0,NHS Borders
S08000016,Bone and connective tissue,Female,1998,2,3.630027588,NHS Borders
S08000016,Bone and connective tissue,Female,1999,3,5.466073901,NHS Borders
S08000016,Bone and connective tissue,Female,2000,0,0,NHS Borders
S08000016,Bone and connective tissue,Female,2001,2,3.604707748,NHS Borders
S08000016,Bone and connective tissue,Female,2002,2,3.593438382,NHS Borders
S08000016,Bone and connective tissue,Female,2003,3,5.3479749,NHS Borders
S08000016,Bone and connective tissue,Female,2004,3,5.303070478,NHS Borders
S08000016,Bone and connective tissue,Female,2005,2,3.512222534,NHS Borders
S08000016,Bone and connective tissue,Female,2006,1,1.748710326,NHS Borders
S08000016,Bone and connective tissue,Female,2007,4,6.91503155,NHS Borders
S08000016,Bone and connective tissue,Female,2008,1,1.709167977,NHS Borders
S08000016,Bone and connective tissue,Female,2009,1,1.704187188,NHS Borders
S08000016,Bone and connective tissue,Female,2010,1,1.701866948,NHS Borders
S08000016,Bone and connective tissue,Female,2011,2,3.408025901,NHS Borders
S08000016,Bone and connective tissue,Female,2012,1,1.708321233,NHS Borders
S08000016,Bone and connective tissue,Female,2013,4,6.829551469,NHS Borders
S08000016,Bone and connective tissue,Female,2014,1,1.702968274,NHS Borders
S08000016,Bone and connective tissue,Female,2015,1,1.701924877,NHS Borders
S08000016,Bone and connective tissue,Female,2016,1,1.694513166,NHS Borders
S08000016,Bone and connective tissue,Female,2017,3,5.064915331,NHS Borders
S08000016,Bone and connective tissue,Female,2018,2,3.373762251,NHS Borders
S08000016,Bone and connective tissue,Female,2019,3,5.051610622,NHS Borders
S08000016,Bone and connective tissue,Female,2020,1,1.689531662,NHS Borders
S08000016,Connective tissue,All,1996,1,0.944643869,NHS Borders
S08000016,Connective tissue,All,1997,2,1.887504719,NHS Borders
S08000016,Connective tissue,All,1998,4,3.772161449,NHS Borders
S08000016,Connective tissue,All,1999,3,2.835270768,NHS Borders
S08000016,Connective tissue,All,2000,4,3.764705882,NHS Borders
S08000016,Connective tissue,All,2001,3,2.805049088,NHS Borders
S08000016,Connective tissue,All,2002,6,5.579838185,NHS Borders
S08000016,Connective tissue,All,2003,6,5.535566012,NHS Borders
S08000016,Connective tissue,All,2004,4,3.65463682,NHS Borders
S08000016,Connective tissue,All,2005,3,2.721088435,NHS Borders
S08000016,Connective tissue,All,2006,2,1.804077215,NHS Borders
S08000016,Connective tissue,All,2007,7,6.23885918,NHS Borders
S08000016,Connective tissue,All,2008,1,0.882145378,NHS Borders
S08000016,Connective tissue,All,2009,5,4.401795933,NHS Borders
S08000016,Connective tissue,All,2010,4,3.518029903,NHS Borders
S08000016,Connective tissue,All,2011,5,4.390586582,NHS Borders
S08000016,Connective tissue,All,2012,1,0.879352796,NHS Borders
S08000016,Connective tissue,All,2013,5,4.390586582,NHS Borders
S08000016,Connective tissue,All,2014,1,0.876885303,NHS Borders
S08000016,Connective tissue,All,2015,3,2.630886609,NHS Borders
S08000016,Connective tissue,All,2016,0,0,NHS Borders
S08000016,Connective tissue,All,2017,5,4.347070075,NHS Borders
S08000016,Connective tissue,All,2018,3,2.602585235,NHS Borders
S08000016,Connective tissue,All,2019,4,3.462903645,NHS Borders
S08000016,Connective tissue,All,2020,1,0.867754252,NHS Borders
S08000016,Connective tissue,Male,1996,1,1.968116512,NHS Borders
S08000016,Connective tissue,Male,1997,2,3.930354125,NHS Borders
S08000016,Connective tissue,Male,1998,2,3.925879397,NHS Borders
S08000016,Connective tissue,Male,1999,1,1.963633507,NHS Borders
S08000016,Connective tissue,Male,2000,4,7.827175955,NHS Borders
S08000016,Connective tissue,Male,2001,1,1.942992597,NHS Borders
S08000016,Connective tissue,Male,2002,4,7.71114067,NHS Borders
S08000016,Connective tissue,Male,2003,3,5.736795808,NHS Borders
S08000016,Connective tissue,Male,2004,1,1.891109892,NHS Borders
S08000016,Connective tissue,Male,2005,1,1.87596143,NHS Borders
S08000016,Connective tissue,Male,2006,1,1.863064741,NHS Borders
S08000016,Connective tissue,Male,2007,4,7.359028608,NHS Borders
S08000016,Connective tissue,Male,2008,0,0,NHS Borders
S08000016,Connective tissue,Male,2009,5,9.105643678,NHS Borders
S08000016,Connective tissue,Male,2010,3,5.460402978,NHS Borders
S08000016,Connective tissue,Male,2011,4,7.247033246,NHS Borders
S08000016,Connective tissue,Male,2012,0,0,NHS Borders
S08000016,Connective tissue,Male,2013,2,3.615917268,NHS Borders
S08000016,Connective tissue,Male,2014,0,0,NHS Borders
S08000016,Connective tissue,Male,2015,2,3.618403199,NHS Borders
S08000016,Connective tissue,Male,2016,0,0,NHS Borders
S08000016,Connective tissue,Male,2017,3,5.377404148,NHS Borders
S08000016,Connective tissue,Male,2018,2,3.57213024,NHS Borders
S08000016,Connective tissue,Male,2019,1,1.781800688,NHS Borders
S08000016,Connective tissue,Male,2020,1,1.784057661,NHS Borders
S08000016,Connective tissue,Female,1996,0,0,NHS Borders
S08000016,Connective tissue,Female,1997,0,0,NHS Borders
S08000016,Connective tissue,Female,1998,2,3.630027588,NHS Borders
S08000016,Connective tissue,Female,1999,2,3.644049268,NHS Borders
S08000016,Connective tissue,Female,2000,0,0,NHS Borders
S08000016,Connective tissue,Female,2001,2,3.604707748,NHS Borders
S08000016,Connective tissue,Female,2002,2,3.593438382,NHS Borders
S08000016,Connective tissue,Female,2003,3,5.3479749,NHS Borders
S08000016,Connective tissue,Female,2004,3,5.303070478,NHS Borders
S08000016,Connective tissue,Female,2005,2,3.512222534,NHS Borders
S08000016,Connective tissue,Female,2006,1,1.748710326,NHS Borders
S08000016,Connective tissue,Female,2007,3,5.186273662,NHS Borders
S08000016,Connective tissue,Female,2008,1,1.709167977,NHS Borders
S08000016,Connective tissue,Female,2009,0,0,NHS Borders
S08000016,Connective tissue,Female,2010,1,1.701866948,NHS Borders
S08000016,Connective tissue,Female,2011,1,1.70401295,NHS Borders
S08000016,Connective tissue,Female,2012,1,1.708321233,NHS Borders
S08000016,Connective tissue,Female,2013,3,5.122163602,NHS Borders
S08000016,Connective tissue,Female,2014,1,1.702968274,NHS Borders
S08000016,Connective tissue,Female,2015,1,1.701924877,NHS Borders
S08000016,Connective tissue,Female,2016,0,0,NHS Borders
S08000016,Connective tissue,Female,2017,2,3.376610221,NHS Borders
S08000016,Connective tissue,Female,2018,1,1.686881125,NHS Borders
S08000016,Connective tissue,Female,2019,3,5.051610622,NHS Borders
S08000016,Connective tissue,Female,2020,0,0,NHS Borders
S08000016,Malignant brain cancer,All,1996,12,11.33572643,NHS Borders
S08000016,Malignant brain cancer,All,1997,7,6.606266516,NHS Borders
S08000016,Malignant brain cancer,All,1998,6,5.658242173,NHS Borders
S08000016,Malignant brain cancer,All,1999,10,9.450902561,NHS Borders
S08000016,Malignant brain cancer,All,2000,8,7.529411765,NHS Borders
S08000016,Malignant brain cancer,All,2001,17,15.89527817,NHS Borders
S08000016,Malignant brain cancer,All,2002,13,12.0896494,NHS Borders
S08000016,Malignant brain cancer,All,2003,12,11.07113202,NHS Borders
S08000016,Malignant brain cancer,All,2004,17,15.53220649,NHS Borders
S08000016,Malignant brain cancer,All,2005,14,12.6984127,NHS Borders
S08000016,Malignant brain cancer,All,2006,6,5.412231644,NHS Borders
S08000016,Malignant brain cancer,All,2007,8,7.130124777,NHS Borders
S08000016,Malignant brain cancer,All,2008,11,9.703599153,NHS Borders
S08000016,Malignant brain cancer,All,2009,9,7.923232679,NHS Borders
S08000016,Malignant brain cancer,All,2010,5,4.397537379,NHS Borders
S08000016,Malignant brain cancer,All,2011,8,7.024938532,NHS Borders
S08000016,Malignant brain cancer,All,2012,14,12.31093915,NHS Borders
S08000016,Malignant brain cancer,All,2013,11,9.659290481,NHS Borders
S08000016,Malignant brain cancer,All,2014,21,18.41459137,NHS Borders
S08000016,Malignant brain cancer,All,2015,4,3.507848812,NHS Borders
S08000016,Malignant brain cancer,All,2016,12,10.47760412,NHS Borders
S08000016,Malignant brain cancer,All,2017,11,9.563554164,NHS Borders
S08000016,Malignant brain cancer,All,2018,12,10.41034094,NHS Borders
S08000016,Malignant brain cancer,All,2019,13,11.25443685,NHS Borders
S08000016,Malignant brain cancer,All,2020,11,9.545296772,NHS Borders
S08000016,Malignant brain cancer,Male,1996,5,9.840582562,NHS Borders
S08000016,Malignant brain cancer,Male,1997,5,9.825885312,NHS Borders
S08000016,Malignant brain cancer,Male,1998,0,0,NHS Borders
S08000016,Malignant brain cancer,Male,1999,4,7.85453403,NHS Borders
S08000016,Malignant brain cancer,Male,2000,7,13.69755792,NHS Borders
S08000016,Malignant brain cancer,Male,2001,10,19.42992597,NHS Borders
S08000016,Malignant brain cancer,Male,2002,9,17.35006651,NHS Borders
S08000016,Malignant brain cancer,Male,2003,8,15.29812216,NHS Borders
S08000016,Malignant brain cancer,Male,2004,6,11.34665935,NHS Borders
S08000016,Malignant brain cancer,Male,2005,8,15.00769144,NHS Borders
S08000016,Malignant brain cancer,Male,2006,4,7.452258966,NHS Borders
S08000016,Malignant brain cancer,Male,2007,4,7.359028608,NHS Borders
S08000016,Malignant brain cancer,Male,2008,5,9.115437906,NHS Borders
S08000016,Malignant brain cancer,Male,2009,5,9.105643678,NHS Borders
S08000016,Malignant brain cancer,Male,2010,5,9.10067163,NHS Borders
S08000016,Malignant brain cancer,Male,2011,4,7.247033246,NHS Borders
S08000016,Malignant brain cancer,Male,2012,12,21.74582752,NHS Borders
S08000016,Malignant brain cancer,Male,2013,3,5.423875902,NHS Borders
S08000016,Malignant brain cancer,Male,2014,11,19.88466892,NHS Borders
